Collector,IP Address,Device Ip Numeric,Network View,Device Name,Type,Vendor,Model,Device Assurance,Site (Devices),Supervisor (Devices),IsInactive (Devices),IsForTesting (Devices)
phx-netmri-1,10.129.0.202,176226506,Salesforce_IT,fra3-axs-b,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.129.0.205,176226509,Salesforce_IT,fra3-axs-e,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.129.0.206,176226510,Salesforce_IT,fra3-axs-f,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.10.128.3,168460291,Salesforce_IT,gsoc-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.18.67.11,168968971,Salesforce_IT,iad6-wlc-a,Router,Cisco,C9800LFK9,99,,,,
phx-netmri-1,10.91.19.253,173741053,Salesforce_IT,nyc3-sic-axs-1,Switch,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.76.0.104,172753000,Salesforce_IT,pao1-axs-1a,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.5.0.201,168100041,Salesforce_IT,phx3-axs-a,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.5.0.202,168100042,Salesforce_IT,phx3-axs-b,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.5.0.203,168100043,Salesforce_IT,phx3-axs-c,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.60.0.104,171704424,Salesforce_IT,tok5-axs-9a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.60.190.250,171753210,Salesforce_IT,tok5-sic-axs-9,Switch,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.60.190.249,171753209,Salesforce_IT,tok5-sic-axs-8,Switch,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.144.0.255,177209599,Salesforce_IT,dub3a-ts,Router,Cisco,ISR4331,99,,,,
phx-netmri-1,10.144.0.253,177209597,Salesforce_IT,DUB3a-SRV-A,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.144.0.254,177209598,Salesforce_IT,dub3a-dst-a,Switch-Router,Cisco,C9500-24Q,99,,,,
phx-netmri-1,10.144.0.5,177209349,Salesforce_IT,dub3a-axs-2,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.1,177209345,Salesforce_IT,dub3a-axs-00,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.2,177209346,Salesforce_IT,dub3a-axs-01,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.3,177209347,Salesforce_IT,dub3a-axs-0,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.4,177209348,Salesforce_IT,dub3a-axs-1,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.6,177209350,Salesforce_IT,dub3a-axs-3a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.7,177209351,Salesforce_IT,dub3a-axs-3b,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.8,177209352,Salesforce_IT,dub3a-axs-4a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.9,177209353,Salesforce_IT,dub3a-axs-4b,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.10,177209354,Salesforce_IT,dub3a-axs-5,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.11,177209355,Salesforce_IT,dub3a-axs-6,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.12,177209356,Salesforce_IT,dub3a-axs-7-8,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.90.0.252,173670652,Salesforce_IT,sea6-dst-a,Switch-Router,Cisco,Cat9500VirtualStack,99,,,,
